Título	link	data	tipo	doi	issn	ISSN	Periódico	Qualis	FI (JCR)	H-index	media_citacao_3_anos	Resumo_antigo	Categorias	categories	Resumo	PUBMEDID	Periódico	ISSN	DOI	Tradução do título	Tradução do resumo
A Phase 1: Safety and Immunogenicity Trial of an Inactivated SARS-CoV-2 Vaccine-BBV152.	https://doi.org/10.1101/2020.12.11.20210419	15/12/2020	Preprint	10.1101/2020.12.11.20210419	-	-	-	-	-	-	-	-	['Covaxin']	['Covaxin']	Safe and effective vaccines against SARS-CoV-2 for children are urgently needed. Here we aimed to assess the safety and immunogenicity of an inactivated COVID-19 vaccine candidate, WIBP-CorV, in participants aged 3-17 years. A randomized, double-blind, placebo-controlled, phase 1/2 clinical trial was conducted in Henan Province, China, in healthy children aged 3-17 years. 240 participants in phase 1 trial and 576 participants in phase 2 trial were randomly assigned to vaccine or control with an age de-escalation in three cohorts (3-5, 6-12 and 13-17 years) and dose-escalation in three groups (2.5, 5.0 and 10.0μg/dose), and received 3 intramuscular injections at day 0, 28, and 56. WIBP-CorV showed a promising safety profile with approximately 17% adverse reactions within 30 days after injection and no grade 3 or worse adverse events. The most common adverse reaction was injection site pain, followed by fever, which were mild and self-limiting. The geometric mean titers of neutralizing antibody ranged from 102.2 to 1065.5 in vaccinated participants at 28 days after the third vaccination, and maintained at a range of 14.3 to 218.2 at day 180 after the third vaccination. WIBP-CorV elicited significantly higher titers of neutralizing antibody in the cohort aged 3-5 years than the other two cohorts. There were no detectable antibody responses in all alum-only groups. Taken together, our data demonstrate that WIBP-CorV is safe and well tolerated at all tested doses in participants aged 3-17 years, and elicited robust humoral responses against SARS-CoV-2 lasted for at least 6 months after the third vaccination. This study is ongoing and is registered with www.chictr.org.cn, ChiCTR2000031809.	35812412	Frontiers in immunology	1664-3224	10.3389/fimmu.2022.898151	A Fase 1: Ensaio de segurança e imunogenicidade de uma vacina inativada contra SARS-CoV-2-BBV152. 	Vacinas seguras e eficazes contra SARS-CoV-2 para crianças são urgentemente necessárias. Aqui, nosso objetivo foi avaliar a segurança e a imunogenicidade de uma vacina candidata inativada contra COVID-19, WIBP-CorV, em participantes de 3 a 17 anos. Um ensaio clínico de fase 1/2 randomizado, duplo-cego, controlado por placebo, foi realizado na província de Henan, China, em crianças saudáveis de 3 a 17 anos. 240 participantes no estudo de fase 1 e 576 participantes no estudo de fase 2 foram aleatoriamente designados para vacina ou controle com redução de idade em três coortes (3-5, 6-12 e 13-17 anos) e aumento de dose em três grupos (2,5, 5,0 e 10,0μg/dose) e recebeu 3 injeções intramusculares nos dias 0, 28 e 56. WIBP-CorV mostrou um perfil de segurança promissor com aproximadamente 17% de reações adversas dentro de 30 dias após a injeção e nenhum grau 3 ou pior eventos adversos. A reação adversa mais comum foi dor no local da injeção, seguida de febre, que foi leve e autolimitada. Os títulos médios geométricos de anticorpos neutralizantes variaram de 102,2 a 1065,5 em participantes vacinados aos 28 dias após a terceira vacinação e mantiveram-se em uma faixa de 14,3 a 218,2 no dia 180 após a terceira vacinação. WIBP-CorV provocou títulos significativamente mais elevados de anticorpos neutralizantes na coorte com idades entre 3-5 anos do que as outras duas coortes. Não houve respostas de anticorpos detectáveis em todos os grupos apenas de alúmen. Em conjunto, nossos dados demonstram que o WIBP-CorV é seguro e bem tolerado em todas as doses testadas em participantes de 3 a 17 anos, e provocou respostas humorais robustas contra SARS-CoV-2 que duraram pelo menos 6 meses após a terceira vacinação. Este estudo está em andamento e está registrado em www.chictr.org.cn, ChiCTR2000031809.
Early initiation of prophylactic anticoagulation for prevention of COVID-19 mortality: a nationwide cohort study of hospitalized patients in the United States.	https://doi.org/10.1101/2020.12.09.20246579	11/12/2020	Preprint	10.1101/2020.12.09.20246579	-	-	-	-	-	-	-	-	['Anticoagulantes', 'Anticoagulantes']	['Anticoagulants', 'Anticoagulants']	Early initiation of prophylactic anticoagulation compared with no anticoagulation among patients admitted to hospital with covid-19 was associated with a decreased risk of 30 day mortality and no increased risk of serious bleeding events. These findings provide strong real world evidence to support guidelines recommending the use of prophylactic anticoagulation as initial treatment for patients with covid-19 on hospital admission.	33574135	BMJ (Clinical research ed.)	1756-1833	10.1136/bmj.n311	Início precoce da anticoagulação profilática para prevenção da mortalidade por COVID-19: um estudo de coorte nacional de pacientes hospitalizados nos Estados Unidos. 	O início precoce da anticoagulação profilática em comparação com a ausência de anticoagulação entre os pacientes internados no hospital com covid-19 foi associado a uma diminuição do risco de mortalidade em 30 dias e nenhum aumento do risco de eventos hemorrágicos graves. Esses achados fornecem fortes evidências do mundo real para apoiar as diretrizes que recomendam o uso de anticoagulação profilática como tratamento inicial para pacientes com covid-19 na admissão hospitalar.
The efficacy and safety of hydroxychloroquine in COVID19 patients: a multicenter national retrospective cohort.	https://doi.org/10.1101/2020.11.25.20234914	30/11/2020	Preprint	10.1101/2020.11.25.20234914	-	-	-	-	-	-	-	-	['Hidroxicloroquina', 'Hidroxicloroquina', 'Hidroxicloroquina']	['Hydroxychloroquine', 'Hydroxychloroquine', 'Hydroxychloroquine']	Our results showed no significant beneficial effect of using hydroxychloroquine on the outcome of patients with COVID-19. Moreover, the risk of hypoglycemia due to hydroxychloroquine would possess a significant risk for out-of-hospital use.	33484407	Infectious diseases and therapy	2193-8229	10.1007/s40121-021-00397-8	A eficácia e segurança da hidroxicloroquina em pacientes com COVID19: uma coorte retrospectiva nacional multicêntrica. 	Nossos resultados não mostraram efeito benéfico significativo do uso de hidroxicloroquina no desfecho de pacientes com COVID-19. Além disso, o risco de hipoglicemia devido à hidroxicloroquina possuiria um risco significativo para uso fora do hospital.
Treatment with Zinc is Associated with Reduced In-Hospital Mortality Among COVID-19 Patients: A Multi-Center Cohort Study	https://doi.org/10.21203/rs.3.rs-94509/v1	26/10/2020	Preprint	10.21203/rs.3.rs-94509/v1	-	-	-	-	-	-	-	-	['Zinco']	['Zinc']	-	33140042	Research square	1932-6203	10.21203/rs.3.rs-94509/v1	O tratamento com zinco está associado à redução da mortalidade hospitalar entre pacientes com COVID-19: um estudo de coorte multicêntrico 	-
Clinical Course and Outcomes of coronavirus disease 2019 (COVID-19) in Rheumatic Disease Patients on Immunosuppression: A case Cohort Study at a Single Center with a Significantly Diverse Population	https://doi.org/10.1101/2020.10.26.20219154	27/10/2020	Preprint	10.1101/2020.10.26.20219154	-	-	-	-	-	-	-	-	['Corticosteroides', 'Hidroxicloroquina']	['Corticosteroids', 'Hydroxychloroquine']	-	-	-	-	-	Curso clínico e resultados da doença de coronavírus 2019 (COVID-19) em pacientes com doença reumática em imunossupressão: um estudo de coorte de casos em um único centro com uma população significativamente diversa 	-
Tocilizumab in Treatment of Severe COVID-19 Patients: A Systematic Review and Meta-Analysis of Cohort Studies	https://www.authorea.com/doi/full/10.22541/au.160071232.27950965	21/09/2020	Preprint	10.22541/au.160071232.27950965	-	-	-	-	-	-	-	-	['Tocilizumabe']	['Tocilizumab']	Based on cumulative low-to-moderate certainty evidence shows that TCZ could reduce the risk of mortality in hospitalised patients. However, there is no statistically significant difference observed between the TCZ and SOC/control groups in other parameters.	34251307	Clinical and experimental rheumatology	0392-856X	10.55563/clinexprheumatol/4dg0or	Tocilizumabe no tratamento de pacientes graves com COVID-19: uma revisão sistemática e meta-análise de estudos de coorte 	com base em evidências cumulativas de certeza baixa a moderada mostra que o TCZ pode reduzir o risco de mortalidade em pacientes hospitalizados. No entanto, não há diferença estatisticamente significativa observada entre os grupos TCZ e SOC/controle em outros parâmetros.
Anakinra After Corticosteroid and/or Tocilizumab Treatment in Patients with Severe COVID-19 Pneumonia and Moderate Hyperinflammation. A Retrospective Cohort Study	https://doi.org/10.21203/rs.3.rs-88775/v1	09/10/2020	Preprint	10.21203/rs.3.rs-88775/v1	-	-	-	-	-	-	-	-	['Anakinra']	['Anakinra']	-	-	-	-	-	Anakinra após tratamento com corticosteroide e/ou tocilizumabe em pacientes com pneumonia grave por COVID-19 e hiperinflamação moderada. Um estudo de coorte retrospectivo 	-
Early transfusion of a large cohort of COVID-19 patients with high titer anti-SARS-CoV-2 spike protein IgG convalescent plasma confirms a signal of significantly decreased mortality	https://doi.org/10.1101/2020.10.02.20206029	05/10/2020	Preprint	10.1101/2020.10.02.20206029	-	-	-	-	-	-	-	-	['Plasma convalescente']	['Convalescent Plasma']	-	-	-	-	-	A transfusão precoce de uma grande coorte de pacientes com COVID-19 com plasma convalescente IgG anti-SARS-CoV-2 de alto título confirma um sinal de mortalidade significativamente diminuída 	-
Pre exposure Hydroxychloroquine use is associated with reduced COVID19 risk in healthcare workers - a Retrospective cohort	https://doi.org/10.1101/2020.06.09.20116806	01/10/2020	Preprint	10.1101/2020.06.09.20116806	-	-	-	-	-	-	-	-	['Hidroxicloroquina']	['Hydroxychloroquine']	-	-	-	-	-	Pré-exposição O uso de hidroxicloroquina está associado à redução do risco de COVID19 em profissionais de saúde - uma coorte retrospectiva 	-
Combination of Tocilizumab and steroids to improve mortality in patients with severe COVID-19 infection: A spanish, multicenter, cohorty study	https://doi.org/10.1101/2020.09.07.20189357	10/09/2020	Preprint	10.1101/2020.09.07.20189357	-	-	-	-	-	-	-	-	['Corticosteroides', 'Tocilizumabe']	['Corticosteroids', 'Tocilizumab']	There is no benefit of the addition of lopinavir-ritonavir to the standard care in COVID-19 patients.	33928532	Infectious diseases and therapy	2193-8229	10.1007/s40121-021-00444-4	Combinação de tocilizumabe e esteróides para melhorar a mortalidade em pacientes com infecção grave por COVID-19: um estudo de coorte espanhol, multicêntrico 	Não há benefício da adição de lopinavir-ritonavir ao tratamento padrão em pacientes com COVID-19.
