Título	link	data	tipo	doi	issn	ISSN	Periódico	Qualis	FI (JCR)	H-index	media_citacao_3_anos	Resumo_antigo	Categorias	categories	Resumo	PUBMEDID	Periódico	ISSN	DOI	Tradução do título	Tradução do resumo
The impact of vitamin D supplementation on mortality rate and clinical outcomes of COVID-19 patients: A systematic review and meta-analysis.	https://doi.org/10.1101/2021.01.04.21249219	05/01/2021	Preprint	10.1101/2021.01.04.21249219	-	-	-	-	-	-	-	-	['Vitamina D (25-hidroxivitamina D)']	['Vitamin D (25-hydroxyvitamin D)']	-	-	-	-	-	O impacto da suplementação de vitamina D na taxa de mortalidade e resultados clínicos de pacientes com COVID-19: uma revisão sistemática e meta-análise. 	-
Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)	https://doi.org/10.1101/2020.11.22.20236448	24/11/2020	Preprint	10.1101/2020.11.22.20236448	-	-	-	-	-	-	-	-	['Bromexina', 'Bromexina', 'Bromexina', 'Bromexina', 'Corticosteroides', 'Corticosteroides', 'Corticosteroides', 'Corticosteroides', 'Hidroxicloroquina', 'Hidroxicloroquina', 'Hidroxicloroquina', 'Hidroxicloroquina', 'Imunoglobulina', 'Imunoglobulina', 'Imunoglobulina', 'Imunoglobulina', 'Lopinavir', 'Lopinavir', 'Lopinavir', 'Lopinavir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Ritonavir', 'Ritonavir', 'Ritonavir', 'Ritonavir', 'Tocilizumabe', 'Tocilizumabe', 'Tocilizumabe', 'Tocilizumabe']	['Bromhexine', 'Bromhexine', 'Bromhexine', 'Bromhexine', 'Corticosteroids', 'Corticosteroids', 'Corticosteroids', 'Corticosteroids', 'Hydroxychloroquine', 'Hydroxychloroquine', 'Hydroxychloroquine', 'Hydroxychloroquine', ' Immunoglobulin', 'Immunoglobulin', 'Immunoglobulin', 'Immunoglobulin', 'Lopinavir', 'Lopinavir', 'Lopinavir', 'Lopinavir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Ritonavir' , 'Ritonavir', 'Ritonavir', 'Ritonavir', 'Tocilizumab', 'Tocilizumab', 'Tocilizumab', 'Tocilizumab']	PROSPERO CRD42020178787.	33705495	PloS one	1932-6203	10.1371/journal.pone.0248132	Intervenções para tratamento de COVID-19: segunda edição de uma revisão sistemática viva com meta-análises e análises sequenciais de ensaios (The LIVING Project) 	PROSPERO CRD42020178787.
Repurposing of drugs for Covid-19: asystematic review and meta-analysis	https://www.medrxiv.org/content/10.1101/2020.06.07.20124677v1	09/06/2020	Preprint	10.1101/2020.06.07.20124677v1	-	-	-	-	-	-	-	-	[]	[]	-	-	-	-	-	Reaproveitamento de medicamentos para Covid-19: revisão sistemática e metanálise 	-
A systematic review of Anakinra, Sarilumab, Siltuximab with meta-analysis of Tocilizumab for Covid-19.	https://doi.org/10.1101/2020.04.23.20076612	06/09/2020	Preprint	10.1101/2020.04.23.20076612	-	-	-	-	-	-	-	-	['Anakinra', 'Anakinra', 'Sarilumabe', 'Sarilumabe', 'Siltuximabe', 'Siltuximabe', 'Tocilizumabe', 'Tocilizumabe']	['Anakinra', 'Anakinra', 'Sarilumab', 'Sarilumab', 'Siltuximab', 'Siltuximab', 'Tocilizumab', 'Tocilizumab']	-	-	-	-	-	Uma revisão sistemática de Anakinra, Sarilumab, Siltuximab com meta-análise de Tocilizumab para Covid-19. 	-
The Role of Vitamin D in The Age of COVID-19: A Systematic Review and Meta-Analysis	https://doi.org/10.1101/2020.06.05.20123554	26/10/2020	Preprint	10.1101/2020.06.05.20123554	-	-	-	-	-	-	-	-	['Vitamina D (25-hidroxivitamina D)', 'Vitamina D (25-hidroxivitamina D)', 'Vitamina D (25-hidroxivitamina D)']	['Vitamin D (25-hydroxyvitamin D)', 'Vitamin D (25-hydroxyvitamin D)', 'Vitamin D (25-hydroxyvitamin D)']	This study found that most of the COVID-19 patients were suffering from vitamin D deficiency/insufficiency. Also, there is about three times higher chance of getting infected with SARS-CoV-2 among vitamin-D-deficient individuals and about five times higher probability of developing the severe disease in vitamin-D-deficient patients. Vitamin D deficiency showed no significant association with mortality rates in this population.	34322971	International journal of clinical practice	1742-1241	10.1111/ijcp.14675	O papel da vitamina D na era do COVID-19: uma revisão sistemática e meta-análise 	Este estudo descobriu que a maioria dos pacientes com COVID-19 sofria de deficiência / insuficiência de vitamina D. Além disso, há cerca de três vezes mais chances de se infectar com SARS-CoV-2 entre indivíduos com deficiência de vitamina D e cerca de cinco vezes mais probabilidade de desenvolver a doença grave em pacientes com deficiência de vitamina D. A deficiência de vitamina D não mostrou associação significativa com as taxas de mortalidade nessa população.
Safety, Tolerability, and Immunogenicity of COVID-19 Vaccines: A Systematic Review and Meta-Analysis	https://doi.org/10.1101/2020.11.03.20224998	04/11/2020	Preprint	10.1101/2020.11.03.20224998	-	-	-	-	-	-	-	-	['Ad5-nCoV', 'CoronaVac', 'Vacina BNT162', 'Vacina de vírus inativado', 'Vacina NVX-CoV2373']	['Ad5-nCoV', 'CoronaVac', 'BNT162 vaccine', 'Inactivated virus vaccine', 'NVX-CoV2373 vaccine']	We aimed to summarize reliable medical evidence by the meta-analysis of all published clinical trials that investigated the safety, tolerability, and immunogenicity of vaccine candidates against coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The PubMed, Cochrane Library, EMBASE, and medRxiv databases were used to select the studies. 7094 articles were identified initially and 43 were retrieved for more detailed evaluation. 5 randomized, double-blind, placebo-controlled trials were selected. A total of 1604 subjects with either vaccines or placebo infections were included in the meta-analysis within the scope of these articles. According to the results, there is an increase in total adverse events for subjects with either low (95% 	33173896	medRxiv : the preprint server for health sciences	1742-1241	10.1101/2020.11.03.20224998	Segurança, tolerabilidade e imunogenicidade das vacinas COVID-19: uma revisão sistemática e meta-análise 	Nosso objetivo foi resumir evidências médicas confiáveis pela meta-análise de todos os ensaios clínicos publicados que investigaram a segurança, tolerabilidade e imunogenicidade de vacinas candidatas contra o coronavírus doença 2019 (COVID-19), causada pelo coronavírus 2 da síndrome respiratória aguda grave (SARS-CoV-2). As bases de dados PubMed, Cochrane Library, EMBASE e medRxiv foram usadas para selecionar os estudos. 7.094 artigos foram identificados inicialmente e 43 foram recuperados para avaliação mais detalhada. 5 ensaios randomizados, duplo-cegos, controlados por placebo foram selecionados. Um total de 1604 indivíduos com vacinas ou infecções por placebo foram incluídos na meta-análise no âmbito destes artigos. De acordo com os resultados, há um aumento no total de eventos adversos para indivíduos com baixa (95%
Pharmacological treatment for patients with coronavirus disease 2019: systematic review of randomized controlled trials	https://doi.org/10.21203/rs.3.rs-90401/v1	09/10/2020	Preprint	10.21203/rs.3.rs-90401/v1	-	-	-	-	-	-	-	-	['Dexametasona', 'Hidroxicloroquina', 'Lopinavir', 'Remdesivir', 'Ritonavir']	['Dexamethasone', 'Hydroxychloroquine', 'Lopinavir', 'Remdesivir', 'Ritonavir']	-	-	-	-	-	Tratamento farmacológico para pacientes com doença por coronavírus 2019: revisão sistemática de ensaios clínicos randomizados 	-
Tocilizumab in Treatment of Severe COVID-19 Patients: A Systematic Review and Meta-Analysis of Cohort Studies	https://www.authorea.com/doi/full/10.22541/au.160071232.27950965	21/09/2020	Preprint	10.22541/au.160071232.27950965	-	-	-	-	-	-	-	-	['Tocilizumabe']	['Tocilizumab']	Based on cumulative low-to-moderate certainty evidence shows that TCZ could reduce the risk of mortality in hospitalised patients. However, there is no statistically significant difference observed between the TCZ and SOC/control groups in other parameters.	34251307	Clinical and experimental rheumatology	0392-856X	10.55563/clinexprheumatol/4dg0or	Tocilizumabe no tratamento de pacientes graves com COVID-19: uma revisão sistemática e meta-análise de estudos de coorte 	com base em evidências cumulativas de certeza baixa a moderada mostra que o TCZ pode reduzir o risco de mortalidade em pacientes hospitalizados. No entanto, não há diferença estatisticamente significativa observada entre os grupos TCZ e SOC/controle em outros parâmetros.
Renin Angiotensin System Inhibition and Susceptibility and Outcomes from COVID-19: A Systematic Review and Meta-analysis of 69,200 COVID-19 Patients	https://doi.org/10.1101/2020.10.03.20206375	06/10/2020	Preprint	10.1101/2020.10.03.20206375	-	-	-	-	-	-	-	-	['Antagonistas do Receptor da Angiotensina II', 'Antagonistas do Receptor da Angiotensina II', 'Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)', 'Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)']	['Angiotensin II Receptor Antagonists', 'Angiotensin II Receptor Antagonists', 'Angiotensin Converting Enzyme 2 (ACEI 2) Inhibitors', 'Angiotensin Converting Enzyme 2 (ACEI 2) Inhibitors']	-	-	-	-	-	Inibição e suscetibilidade do sistema renina angiotensina e resultados do COVID-19: uma revisão sistemática e meta-análise de 69.200 pacientes com COVID-19 	-
Systematic review and patient-level meta-analysis of SARS-CoV-2 viral dynamics to model response to antiviral therapies	https://doi.org/10.1101/2020.08.20.20178699	23/09/2020	Preprint	10.1101/2020.08.20.20178699	-	-	-	-	-	-	-	-	['Interferon', 'Lopinavir', 'Remdesivir', 'Ribavirina', 'Ritonavir']	['Interferon', 'Lopinavir', 'Remdesivir', 'Ribavirin', 'Ritonavir']	Severe acute respiratory syndrome-coronavirus 2 (SARS-CoV-2) viral loads change rapidly following symptom onset, so to assess antivirals it is important to understand the natural history and patient factors influencing this. We undertook an individual patient-level meta-analysis of SARS-CoV-2 viral dynamics in humans to describe viral dynamics and estimate the effects of antivirals used to date. This systematic review identified case reports, case series, and clinical trial data from publications between January 1, 2020, and May 31, 2020, following Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. A multivariable Cox proportional hazards (Cox-PH) regression model of time to viral clearance was fitted to respiratory and stool samples. A simplified four parameter nonlinear mixed-effects (NLME) model was fitted to viral load trajectories in all sampling sites and covariate modeling of respiratory viral dynamics was performed to quantify time-dependent drug effects. Patient-level data from 645 individuals (age 1 month to 100 years) with 6,316 viral loads were extracted. Model-based simulations of viral load trajectories in samples from the upper and lower respiratory tract, stool, blood, urine, ocular secretions, and breast milk were generated. Cox-PH modeling showed longer time to viral clearance in older patients, men, and those with more severe disease. Remdesivir was associated with faster viral clearance (adjusted hazard ratio (AHR) = 9.19, P < 0.001), as well as interferon, particularly when combined with ribavirin (AHR = 2.2, P = 0.015; AHR = 6.04, P = 0.006). Combination therapy should be further investigated. A viral dynamic dataset and NLME model for designing and analyzing antiviral trials has been established.	33641159	Clinical pharmacology and therapeutics	1532-6535	10.1002/cpt.2223	Revisão sistemática e meta-análise no nível do paciente da dinâmica viral do SARS-CoV-2 para modelar a resposta às terapias antivirais 	As cargas virais da síndrome respiratória aguda grave-coronavírus 2 (SARS-CoV-2) mudam rapidamente após o início dos sintomas, para avaliar os antivirais é importante entender a história natural e os fatores do paciente que influenciam isso. Realizamos uma meta-análise individual da dinâmica viral do SARS-CoV-2 em humanos para descrever a dinâmica viral e estimar os efeitos dos antivirais usados até o momento. Esta revisão sistemática identificou relatos de casos, séries de casos e dados de ensaios clínicos de publicações entre 1º de janeiro de 2020 e 31 de maio de 2020, seguindo as diretrizes de Itens de Relatório Preferenciais para Revisões Sistemáticas e Meta-análises. Um modelo de regressão multivariável de riscos proporcionais de Cox (Cox-PH) de tempo para a depuração viral foi ajustado para amostras respiratórias e de fezes. Um modelo simplificado de efeitos mistos não lineares de quatro parâmetros (NLME) foi ajustado às trajetórias de carga viral em todos os locais de amostragem e a modelagem covariável da dinâmica viral respiratória foi realizada para quantificar os efeitos da droga dependentes do tempo. Dados em nível de paciente de 645 indivíduos (idade de 1 mês a 100 anos) com 6.316 cargas virais foram extraídos. Foram geradas simulações baseadas em modelos de trajetórias de carga viral em amostras do trato respiratório superior e inferior, fezes, sangue, urina, secreções oculares e leite materno. A modelagem de Cox-PH mostrou maior tempo para a eliminação viral em pacientes mais velhos, homens e aqueles com doença mais grave. O remdesivir foi associado a uma depuração viral mais rápida (taxa de risco ajustada (AHR) = 9,19, P < 0,001), bem como interferon, particularmente quando combinado com ribavirina (AHR = 2,2, P = 0,015; AHR = 6,04, P = 0,006). A terapia combinada deve ser mais investigada. Foi estabelecido um conjunto de dados dinâmicos virais e um modelo NLME para projetar e analisar ensaios antivirais.
