ISSN;PERIÓDICO;QUALIS;FI (JCR);H-index;Citações (2019-2022);Citações (média)
00207594;International Journal of Psychology;A1;0.64;68;647;2
01407007;International Journal of Refrigeration;A1;1.23;125;4617;4
09590552;International Journal of Retail and Distribution Management;A1;0.96;87;1270;6
09500693;International Journal of Science Education;A1;1.15;115;1256;3
18754791;International Journal of Social Robotics;A1;1.11;57;1055;6
00207683;International Journal of Solids and Structures;A1;1.14;179;4532;4
14676370;International Journal of Sustainability in Higher Education;A1;0.86;66;1129;5
12900729;International Journal of Thermal Sciences;A1;1.13;127;5906;5
17527716;International Journal of Transitional Justice, The;A1;0.64;29;138;2
10498001;International Journal of Wildland Fire;A1;0.85;93;903;4
09553959;International Journal of Drug Policy;A1;1.38;86;3773;5
18630383;International Journal of Emerging Technologies in Learning;A1;0.63;30;2916;3
01475479;International Labor and Working-Class History;A1;0.21;23;33;1
02651335;International Marketing Review;A1;1.33;96;948;6
09506608;International Materials Reviews;A1;2.98;119;954;19
10737928;International Mathematics Research Notices;A1;1.29;69;771;1
00208132;International Nursing Review;A1;0.86;56;767;3
17495687;International Political Sociology;A1;1.2;46;293;4
10126902;International Review for the Sociology of Sport;A1;1.14;61;618;4
16141687;INTERNATIONAL REVIEW OF INFORMATION ETHICS;A1;0;0;0;0
00208590;International Review of Social History;A1;0.2;28;53;1
23567872;INTERNATIONAL SCHOLARLY RESEARCH NOTICES;A1;0;0;0;0
07185456;Intus-Legere Historia;A1;0.11;2;10;0
00209910;Inventiones Mathematicae;A1;4.55;111;771;4
01676997;Investigational New Drugs;A1;0.96;90;1809;4
15730646;Investigational New Drugs;A1;0.96;90;1809;4
15525783;Investigative Ophthalmology and Visual Science;A1;1.4;229;8056;5
00190578;ISA Transactions;A1;1.47;88;7213;7
00211753;Isis;A1;0.21;45;79;0
09242716;ISPRS Journal of Photogrammetry and Remote Sensing;A1;3.48;155;9054;12
07185049;Izquierdas;A1;0.26;7;128;0
10645632;Izvestiya Mathematics;A1;0.73;24;100;1
1864063X;Journal of Biophotonics;A1;0.8;70;2967;3
15376613;Journal of Infectious Diseases;A1;2.51;261;10196;5
1936878X;JACC: Cardiovascular Imaging;A1;5.91;132;6654;5
19368798;JACC: Cardiovascular Interventions;A1;3.6;132;6495;4
22131779;JACC: Heart Failure;A1;5.47;78;3156;5
00987484;JAMA - Journal of the American Medical Association;A1;6.08;709;60084;12
23806591;JAMA Cardiology;A1;8.32;80;9096;10
21686084;JAMA Dermatology;A1;2.41;173;3809;4
21686106;JAMA Internal Medicine;A1;5.77;358;9145;6
21686149;JAMA Neurology;A1;6.28;243;8556;11
21686157;JAMA Neurology;A1;6.28;243;8556;11
23742445;JAMA Oncology;A1;7.5;127;12909;10
21686165;JAMA Ophthalmology;A1;2.31;203;3376;3
21686181;JAMA Otolaryngology - Head and Neck Surgery;A1;1.71;136;2643;3
21686203;JAMA Pediatrics;A1;3.45;196;6647;6
2168622X;JAMA Psychiatry;A1;5.59;380;7135;10
21686254;JAMA Surgery;A1;3.57;186;5513;5
13602322;Journal of Applied Research in Intellectual Disabilities;A1;0.93;67;1215;3
14607425;JASSS;A1;1.1;61;548;4
14724146;Journal of Clinical Pathology;A1;1.11;132;1827;4
09642633;Journal of Intellectual Disability Research;A1;0.84;109;949;3
23691999;JMIR Cancer;A1;0.66;19;247;3
14388871;Journal of Medical Internet Research;A1;1.74;158;17964;8
00217824;Journal des Mathematiques Pures et Appliquees;A1;2.1;66;822;2
20511426;Journal for ImmunoTherapy of Cancer;A1;3.45;80;11990;12
00754102;Journal fur die Reine und Angewandte Mathematik;A1;2.42;70;438;2
0021843X;Journal of Abnormal Psychology;A1;2.64;204;1814;8
01654101;Journal of Accounting and Economics;A1;7.35;163;1009;8
15254135;Journal of acquired immune deficiency syndromes (1999);A1;1.47;163;2860;3
1054139X;Journal of Adolescent Health;A1;1.89;171;4704;5
03092402;Journal of Advanced Nursing;A1;0.77;161;3240;3
20901232;Journal of Advanced Research;A1;1.87;67;3893;14
19422466;Journal of Advances in Modeling Earth Systems;A1;3.63;69;4608;8
01650327;Journal of Affective Disorders;A1;1.79;205;19995;6
08982643;Journal of Aging and Health;A1;0.89;79;1025;3
00218561;Journal of Agricultural and Food Chemistry;A1;1.02;310;26163;6
09312250;Journal of Agronomy and Crop Science;A1;0.99;79;844;5
09696997;Journal of Air Transport Management;A1;1.56;82;2203;6
10563911;Journal of Algebraic Geometry;A1;1.92;43;105;2
00916749;Journal of Allergy and Clinical Immunology;A1;3.81;307;14910;9
22132198;Journal of Allergy and Clinical Immunology: In Practice;A1;1.58;71;7319;4
13872877;Journal of Alzheimer's Disease;A1;1.23;151;10857;5
01652370;Journal of Analytical and Applied Pyrolysis;A1;1.11;144;4417;6
02679477;Journal of Analytical Atomic Spectrometry;A1;0.8;118;2754;4
09312668;Journal of Animal Breeding and Genetics;A1;0.81;54;436;3
00218790;Journal of Animal Ecology;A1;1.97;163;2958;5
00218812;Journal of Animal Science;A1;0.85;164;3718;3
16749782;Journal of Animal Science and Biotechnology;A1;1.13;52;1776;6
20491891;Journal of Animal Science and Biotechnology;A1;1.13;52;1776;6
14602091;Journal of Antimicrobial Chemotherapy;A1;1.5;203;8499;5
03057453;Journal of Antimicrobial Chemotherapy;A1;1.5;203;8499;5
08876185;Journal of Anxiety Disorders;A1;2.7;126;2923;11
13652664;Journal of Applied Ecology;A1;2.08;192;5217;7
08837252;Journal of Applied Econometrics;A1;2.94;105;562;3
00219029;Journal of Applied Social Psychology;A1;0.74;118;541;3
03054403;Journal of Archaeological Science;A1;1.44;137;1399;4
2352409X;Journal of Archaeological Science: Reports;A1;0.73;32;2640;2
10626050;Journal of Athletic Training;A1;1.39;117;1573;4
01623257;Journal of Autism and Developmental Disorders;A1;1.21;186;5833;5
08968411;Journal of Autoimmunity;A1;2.75;121;4751;12
09088857;Journal of Avian Biology;A1;0.86;79;671;2
03784266;Journal of Banking and Finance;A1;1.47;172;2684;4
20625871;Journal of Behavioral Addictions;A1;1.95;56;2213;8
03050270;Journal of Biogeography;A1;1.61;163;3222;5
1083351X;Journal of Biological Chemistry;A1;1.87;528;24611;5
00219266;Journal of Biological Education;A1;0.43;42;240;1
00219290;Journal of Biomechanics;A1;0.75;208;4251;3
15493296;Journal of Biomedical Materials Research - Part A;A1;0.78;159;3757;5
15507033;Journal of Biomedical Nanotechnology;A1;0.53;80;1576;3
18640648;JOURNAL OF BIOPHOTONICS;A1;0;0;0;0
08840431;Journal of Bone and Mineral Research;A1;1.68;251;4301;6
17527155;Journal of Breath Research;A1;0.79;57;823;4
17527163;Journal of Breath Research;A1;0.79;57;823;4
08838151;Journal of Broadcasting and Electronic Media;A1;1.04;73;357;3
23527102;Journal of Building Engineering;A1;1.16;54;9818;7
19401493;Journal of Building Performance Simulation;A1;0.81;44;433;3
07350015;Journal of Business and Economic Statistics;A1;5.24;106;1042;5
08893268;Journal of Business and Psychology;A1;3.09;83;1179;8
01674544;Journal of Business Ethics;A1;2.44;208;9658;8
01482963;Journal of Business Research;A1;2.32;217;19456;11
21905991;Journal of Cachexia, Sarcopenia and Muscle;A1;2.31;76;3822;11
19322259;Journal of Cancer Survivorship;A1;1.18;67;1239;5
10976647;Journal of Cardiovascular Magnetic Resonance;A1;2.2;102;1539;6
00219517;Journal of Catalysis;A1;1.94;253;10753;8
00219533;Journal of Cell Science;A1;1.94;289;6129;4
0271678X;Journal of Cerebral Blood Flow and Metabolism;A1;2.02;200;3849;7
15499596;Journal of Chemical Information and Modeling;A1;1.22;169;7826;6
15499618;Journal of Chemical Theory and Computation;A1;1.62;193;10978;6
10621024;Journal of Child and Family Studies;A1;0.84;81;2746;3
01764268;Journal of Classification;A1;0.56;41;161;2
09596526;Journal of Cleaner Production;A1;1.92;232;145613;11
08948755;Journal of Climate;A1;2.32;302;8660;5
15374416;Journal of Clinical Child and Adolescent Psychology;A1;2.03;141;1854;6
08954356;Journal of Clinical Epidemiology;A1;3.11;223;3952;5
19332874;Journal of Clinical Lipidology;A1;1.28;62;1512;4
20770383;Journal of Clinical Medicine;A1;1.04;75;33460;5
09621067;Journal of Clinical Nursing;A1;0.83;109;6129;4
0732183X;Journal of Clinical Oncology;A1;9.38;574;27134;16
00219746;Journal of Clinical Pathology;A1;1.11;132;1827;4
03036979;Journal of Clinical Periodontology;A1;2.7;159;4086;9
00219762;Journal of Clinical Psychology;A1;1.16;127;1703;4
22129820;Journal of CO2 Utilization;A1;1.39;66;6671;8
0898929X;Journal of Cognitive Neuroscience;A1;1.27;221;1448;3
00219797;Journal of Colloid and Interface Science;A1;1.4;247;33841;9
00219886;Journal of Common Market Studies;A1;1.49;95;1260;4
00219916;Journal of Communication;A1;2.58;143;818;6
00219924;Journal of Communication Disorders;A1;0.63;70;404;2
00219967;Journal of Comparative Neurology;A1;1.31;216;1785;3
13876988;Journal of Comparative Policy Analysis: Research and Practice;A1;0.64;28;250;2
20511310;Journal of Complex Networks;A1;0.52;23;325;2
10900268;Journal of Composites for Construction;A1;1.28;111;1015;4
10618600;Journal of Computational and Graphical Statistics;A1;1.68;94;628;2
01928651;Journal of Computational Chemistry;A1;0.78;194;2596;3
00219991;Journal of Computational Physics;A1;2.07;260;9235;5
07339364;Journal of Construction Engineering and Management - ASCE;A1;1.07;121;2769;5
19437862;JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT;A1;0;0;0;0
0143974X;Journal of Constructional Steel Research;A1;1.39;112;5789;5
0022006X;Journal of Consulting and Clinical Psychology;A1;2.55;250;2015;7
14695405;Journal of Consumer Culture;A1;1.23;58;340;3
10577408;Journal of Consumer Psychology;A1;3.05;122;694;5
01683659;Journal of Controlled Release;A1;1.81;282;16017;11
09291199;Journal of Corporate Finance;A1;2.1;109;2804;6
18739946;Journal of Crohn's and Colitis;A1;2.43;91;4151;7
00220221;Journal of Cross-Cultural Psychology;A1;1.13;117;640;3
17530350;Journal of Cultural Economy;A1;0.74;28;293;2
12962074;Journal of Cultural Heritage;A1;0.72;70;2031;4
00220272;Journal of Curriculum Studies;A1;0.96;61;423;3
15691993;Journal of Cystic Fibrosis;A1;1.82;81;2157;4
00220302;Journal of Dairy Science;A1;1.22;204;13995;5
1089313X;Journal of dance medicine &amp- science : official publication of the International Association for Dance Medicine &amp- Science;A1;0.29;26;95;1
10455736;Journal of Democracy;A1;2.37;91;813;5
15440591;JOURNAL OF DENTAL RESEARCH (ONLINE);A1;0;0;0;0
2212571X;Journal of Destination Marketing and Management;A1;1.75;50;2476;9
03043878;Journal of Development Economics;A1;3.26;150;1723;5
00220388;Journal of Development Studies;A1;0.95;93;1184;3
00220396;Journal of Differential Equations;A1;1.92;123;3951;3
0022040X;Journal of Differential Geometry;A1;3.25;75;269;2
00220477;Journal of Ecology;A1;2.19;194;4201;7
03044076;Journal of Econometrics;A1;3.52;166;1417;3
01672681;Journal of Economic Behavior and Organization;A1;1.11;122;1991;2
01651889;Journal of Economic Dynamics and Control;A1;1.15;93;719;2
14682702;Journal of Economic Geography;A1;2.46;107;754;6
09500804;Journal of Economic Surveys;A1;1.8;98;868;6
00220531;Journal of Economic Theory;A1;2.69;103;653;2
00220795;Journal of Endocrinology;A1;1.28;153;1938;5
00992399;Journal of Endodontics;A1;1.6;160;3700;5
2352152X;Journal of Energy Storage;A1;1.35;60;12982;8
09234748;Journal of Engineering and Technology Management - JET-M;A1;1.04;68;449;6
09544828;Journal of Engineering Design;A1;0.74;55;266;4
14751585;Journal of English for Academic Purposes;A1;1.38;63;632;3
17410398;Journal of Enterprise Information Management;A1;0.97;67;1345;6
03014797;Journal of Environmental Management;A1;1.48;196;37254;9
02724944;Journal of Environmental Psychology;A1;1.81;151;2235;7
0143005X;Journal of Epidemiology and Community Health;A1;1.67;178;2607;5
17464269;Journal of Ethnobiology and Ethnomedicine;A1;0.64;76;907;4
17569966;Journal of Experimental and Clinical Cancer Research;A1;2.35;95;12030;12
14602431;Journal of Experimental Botany;A1;1.91;258;10715;7
00220965;Journal of Experimental Child Psychology;A1;1.2;122;1678;3
15733750;Journal of Experimental Criminology;A1;1.23;54;373;4
00221031;Journal of Experimental Social Psychology;A1;1.82;151;1689;4
1098612X;Journal of Feline Medicine and Surgery;A1;0.65;66;862;2
00934690;Journal of Field Archaeology;A1;1.1;40;380;3
15564959;Journal of Field Robotics;A1;2.34;100;1526;7
14798409;Journal of Financial Econometrics;A1;1.62;41;288;4
0304405X;Journal of Financial Economics;A1;10.42;273;3747;9
14697645;Journal of Fluid Mechanics;A1;1.7;232;12200;4
00221120;Journal of Fluid Mechanics;A1;1.7;232;12200;4
08899746;Journal of Fluids and Structures;A1;1.15;112;2275;4
10530509;Journal of Fluorescence;A1;0.36;74;1101;2
02608774;Journal of Food Engineering;A1;1.11;191;6655;7
00221236;Journal of Functional Analysis;A1;1.82;101;1347;2
17564646;Journal of Functional Foods;A1;0.86;97;9195;5
15733602;Journal of Gambling Studies;A1;0.81;85;828;3
09441174;Journal of Gastroenterology;A1;1.93;120;2324;6
09497714;Journal of Geodesy;A1;1.73;102;1873;5
01480227;JOURNAL OF GEOPHYSICAL RESEARCH;A1;0;0;0;0
21562202;JOURNAL OF GEOPHYSICAL RESEARCH;A1;0;0;0;0
21699313;Journal of Geophysical Research: Solid Earth;A1;1.77;246;9129;5
10900241;Journal of Geotechnical and Geoenvironmental Engineering - ASCE;A1;1.91;164;2697;4
20472978;Journal of Global Health;A1;1.35;44;2848;4
07315090;Journal of Guidance, Control, and Dynamics;A1;1.34;149;2192;3
13894978;Journal of Happiness Studies;A1;1.19;84;1897;5
03043894;Journal of Hazardous Materials;A1;1.99;307;52787;12
00221465;Journal of Health and Social Behavior;A1;1.76;135;589;5
01676296;Journal of Health Economics;A1;2.03;133;1053;4
13591053;Journal of Health Psychology;A1;0.8;93;2034;4
17568722;Journal of Hematology and Oncology;A1;4.24;102;8269;19
01688278;Journal of Hepatology;A1;7.35;266;16327;14
00918369;Journal of Homosexuality;A1;0.78;76;979;3
00221694;Journal of Hydrology;A1;1.61;241;20899;7
22145818;Journal of Hydrology: Regional Studies;A1;1.23;43;1416;6
1525755X;Journal of Hydrometeorology;A1;1.49;131;1855;4
2452414X;Journal of Industrial Information Integration;A1;2.75;31;1363;14
01655515;Journal of Information Science;A1;0.76;69;762;4
1933169X;Journal of Information Technology and Politics;A1;0.93;42;249;3
17511577;Journal of Informetrics;A1;1.44;77;1483;6
16729072;Journal of Integrative Plant Biology;A1;2.45;91;2529;8
14691930;Journal of Intellectual Capital;A1;1.16;97;1207;8
13652788;Journal of Intellectual Disability Research;A1;0.84;109;949;3
10949968;Journal of Interactive Marketing;A1;3.62;114;1192;12
07256868;Journal of Intercultural Studies;A1;0.46;38;175;1
13652796;Journal of Internal Medicine;A1;3.19;170;3678;9
09546820;Journal of Internal Medicine;A1;3.19;170;3678;9
00472506;Journal of International Business Studies;A1;4.39;207;2814;13
09541748;Journal of International Development;A1;0.6;69;413;2
00221996;Journal of International Economics;A1;3.57;143;1093;4
10754253;Journal of International Management;A1;1.38;75;683;6
13561820;Journal of Interprofessional Care;A1;0.75;78;1109;3
00222011;Journal of Invertebrate Pathology;A1;0.58;93;1092;3
0022202X;Journal of Investigative Dermatology;A1;1.58;209;5404;5
10183647;Journal of King Saud University - Science;A1;0.51;45;3167;4
13673270;Journal of Knowledge Management;A1;1.74;124;3309;9
18774091;Journal of Language Contact;A1;0.32;16;46;1
0022216X;Journal of Latin American Studies;A1;0.34;45;84;1
07338724;Journal of Lightwave Technology;A1;1.43;205;11376;5
15337928;Journal of Machine Learning Research;A1;2.39;221;3566;6
10531807;Journal of Magnetic Resonance Imaging;A1;1.42;166;5507;5
10647554;Journal of Mammalian Evolution;A1;0.89;50;326;3
00222380;Journal of Management Studies;A1;4.64;194;1728;10
01614754;Journal of Manipulative and Physiological Therapeutics;A1;0.45;74;460;2
15266125;Journal of Manufacturing Processes;A1;1.31;64;9293;6
02786125;Journal of Manufacturing Systems;A1;2.95;80;4095;13
00222429;Journal of Marketing;A1;7.46;253;2041;14
13591835;Journal of Material Culture;A1;0.59;52;108;1
20507488;Journal of Materials Chemistry A;A1;3.1;240;96516;13
2050750X;Journal of Materials Chemistry B;A1;1.22;113;16361;7
09240136;Journal of Materials Processing Technology;A1;1.58;201;8410;6
22387854;Journal of Materials Research and Technology;A1;0.96;59;13222;6
10050302;Journal of Materials Science and Technology;A1;1.79;81;11690;9
03044068;Journal of Mathematical Economics;A1;0.53;41;188;1
14226928;Journal of Mathematical Fluid Mechanics;A1;1.2;33;348;2
09249907;Journal of Mathematical Imaging and Vision;A1;0.75;76;431;2
13864416;Journal of Mathematics Teacher Education;A1;1.28;42;218;2
00222593;Journal of Medical Genetics;A1;1.77;177;1901;5
00222623;Journal of Medicinal Chemistry;A1;1.89;276;18367;8
03767388;Journal of Membrane Science;A1;1.77;267;25925;9
0749596X;Journal of Memory and Language;A1;1.78;156;745;4
02634929;Journal of Metamorphic Geology;A1;2.21;118;706;5
15534650;Journal of Minimally Invasive Gynecology;A1;0.63;84;1965;2
00222828;Journal of Molecular and Cellular Cardiology;A1;1.46;164;3398;5
01677322;Journal of Molecular Liquids;A1;0.91;132;37382;6
09462716;Journal of Molecular Medicine;A1;1.31;146;1942;5
00222852;Journal of Molecular Spectroscopy;A1;0.33;69;363;1
00222879;Journal of Money, Credit and Banking;A1;1.8;113;458;2
11782390;Journal of Multidisciplinary Healthcare;A1;0.63;37;1153;3
14773155;Journal of Nanobiotechnology;A1;1.56;84;4530;12
01633864;Journal of Natural Products;A1;0.87;147;5451;5
10848045;Journal of Network and Computer Applications;A1;2.19;115;5674;9
00223042;Journal of Neurochemistry;A1;1.52;240;3177;5
17430003;Journal of NeuroEngineering and Rehabilitation;A1;1.13;102;2396;6
17422094;Journal of Neuroinflammation;A1;2.29;126;9490;10
17598486;Journal of NeuroInterventional Surgery;A1;2.65;64;4834;6
15570576;Journal of Neurologic Physical Therapy;A1;0.94;55;372;3
00223050;Journal of Neurology, Neurosurgery and Psychiatry;A1;2.92;216;5554;7
00223069;Journal of Neuropathology and Experimental Neurology;A1;1.0;169;1119;3
00223085;Journal of Neurosurgery;A1;1.41;219;6019;4
15475654;Journal of Neurosurgery: Spine;A1;1.39;106;2066;3
08977151;Journal of Neurotrauma;A1;1.37;156;4294;5
09298215;Journal of New Music Research;A1;0.31;35;121;1
00223093;Journal of Non-Crystalline Solids;A1;0.75;150;6280;4
03770257;Journal of Non-Newtonian Fluid Mechanics;A1;0.76;108;974;3
00223115;Journal of Nuclear Materials;A1;1.05;148;6227;3
09660429;Journal of Nursing Management;A1;1.11;83;2770;5
15276546;Journal of Nursing Scholarship;A1;0.97;86;995;4
09552863;Journal of Nutritional Biochemistry;A1;1.15;139;3635;7
15733688;Journal of Occupational Rehabilitation;A1;1.05;76;752;4
19430620;Journal of Optical Communications and Networking;A1;1.38;67;1875;5
20002297;Journal of Oral Microbiology;A1;1.15;45;769;6
0305182X;Journal of Oral Rehabilitation;A1;0.94;98;1812;4
00223263;Journal of Organic Chemistry;A1;0.98;234;19510;4
07360266;Journal of Orthopaedic Research;A1;0.84;162;3406;4
08853924;Journal of Pain and Symptom Management;A1;1.53;147;4155;4
11787090;Journal of Pain Research;A1;0.66;55;3024;3
00223417;Journal of Pathology;A1;2.54;193;3820;8
15498417;Journal of Patient Safety;A1;0.45;36;438;2
03066150;Journal of Peasant Studies;A1;2.83;90;1359;7
02772116;Journal of Pediatric Gastroenterology and Nutrition;A1;0.92;138;3079;2
08825963;Journal of Pediatric Nursing;A1;0.55;64;1426;2
01468693;Journal of Pediatric Psychology;A1;1.03;127;1048;3
00223492;Journal of Periodontology;A1;1.95;164;3926;8
00223891;Journal of Personality Assessment;A1;1.07;105;849;4
16124758;Journal of Pest Science;A1;1.33;59;1991;6
09204105;Journal of Petroleum Science and Engineering;A1;1.06;122;16381;5
00223530;Journal of Petrology;A1;2.09;179;1202;5
10111344;Journal of Photochemistry and Photobiology B: Biology;A1;0.93;124;5852;6
00223646;Journal of Phycology;A1;0.73;132;1003;3
19487185;Journal of Physical Chemistry Letters;A1;2.01;220;24499;7
19327447;Journal of Physical Chemistry C;A1;1.1;306;39004;4
00223751;Journal of Physiology;A1;1.51;249;5619;4
18369553;Journal of Physiotherapy;A1;1.29;75;719;3
07423098;Journal of Pineal Research;A1;2.2;141;2452;11
1600079X;Journal of Pineal Research;A1;2.2;141;2452;11
01761617;Journal of Plant Physiology;A1;0.85;138;2152;4
10730451;Journal of Political Ecology;A1;0.84;27;344;2
00223808;Journal of Political Economy;A1;18.48;197;2453;10
01603477;Journal of Post Keynesian Economics;A1;0.59;43;97;1
15577821;JOURNAL OF POST KEYNESIAN ECONOMICS (ONLINE);A1;0;0;0;0
03787753;Journal of Power Sources;A1;1.98;320;36392;10
09591524;Journal of Process Control;A1;1.13;118;1999;5
10610421;Journal of Product and Brand Management;A1;1.0;90;1190;5
18831958;Journal of Prosthodontic Research;A1;1.23;44;1191;5
15353907;Journal of Proteome Research;A1;1.38;168;6317;5
15353893;Journal of Proteome Research;A1;1.38;168;6317;5
18743919;Journal of Proteomics;A1;0.77;111;3198;4
00223956;Journal of Psychiatric Research;A1;1.56;144;4586;5
14882434;Journal of Psychiatry and Neuroscience;A1;1.47;104;724;5
02698811;Journal of Psychopharmacology;A1;1.01;121;1848;4
14617285;Journal of Psychopharmacology;A1;1.01;121;1848;4
00223999;Journal of Psychosomatic Research;A1;0.94;162;2038;3
10531858;Journal of Public Administration Research and Theory;A1;3.81;119;773;7
19372841;Journal of Public Deliberation;A1;0.19;22;22;1
00472727;Journal of Public Economics;A1;5.09;152;2428;7
07484518;Journal of Quantitative Criminology;A1;1.61;87;535;5
00224146;Journal of Regional Science;A1;0.88;83;333;3
00224197;Journal of Religion and Health;A1;0.74;46;1618;3
15736571;Journal of Religion and Health;A1;0.74;46;1618;3
20407122;Journal of Research in Interactive Marketing;A1;1.56;42;791;10
14713802;Journal of Research in Special Educational Needs;A1;0.67;29;237;3
09696989;Journal of Retailing and Consumer Services;A1;2.26;104;8161;11
01486055;Journal of Rheology;A1;1.05;110;1288;4
16747755;Journal of Rock Mechanics and Geotechnical Engineering;A1;1.53;55;1887;6
07430167;Journal of Rural Studies;A1;1.29;114;3617;6
00224391;Journal of School Health;A1;0.69;91;798;2
00224405;Journal of School Psychology;A1;1.95;102;992;6
14402440;Journal of Science and Medicine in Sport;A1;1.5;108;3113;5
17575818;Journal of Service Management;A1;2.85;69;1409;10
09621105;Journal of Sleep Research;A1;1.36;125;2277;5
00224529;Journal of Social History;A1;0.18;37;60;0
13606441;Journal of Sociolinguistics;A1;1.03;57;170;2
0022460X;Journal of Sound and Vibration;A1;1.34;190;8194;5
10924388;Journal of Speech, Language, and Hearing Research;A1;0.87;145;2432;3
02640414;Journal of Sports Sciences;A1;1.16;145;4113;4
15487660;Journal of Statistical Software;A1;2.85;155;1457;7
10648011;Journal of Strength and Conditioning Research;A1;1.47;140;4735;4
07405472;Journal of Substance Abuse Treatment;A1;1.23;109;1653;4
10969098;Journal of Surgical Oncology;A1;0.79;115;3434;3
00224790;Journal of Surgical Oncology;A1;0.79;115;3434;3
09669582;Journal of Sustainable Tourism;A1;2.48;114;4632;11
14772019;Journal of Systematic Palaeontology;A1;0.93;51;632;3
16744918;Journal of Systematics and Evolution;A1;1.12;51;747;4
01909622;Journal of the American Academy of Dermatology;A1;1.95;217;11046;4
00027820;Journal of the American Ceramic Society;A1;0.78;203;7790;4
00027863;Journal of the American Chemical Society;A1;5.73;644;114324;15
07351097;Journal of the American College of Cardiology;A1;9.76;451;27498;10
10727515;Journal of the American College of Surgeons;A1;1.71;186;3097;3
00028614;Journal of the American Geriatrics Society;A1;2.13;241;7440;5
20479980;Journal of the American Heart Association;A1;2.24;100;15906;6
10675027;Journal of the American Medical Informatics Association : JAMIA;A1;2.02;158;4751;7
08947317;Journal of the American Society of Echocardiography;A1;2.28;139;2392;4
10466673;Journal of the American Society of Nephrology : JASN;A1;4.59;292;7579;9
01621459;Journal of the American Statistical Association;A1;4.41;197;2439;5
00045411;Journal of the ACM;A1;2.81;131;439;4
00134651;Journal of the Electrochemical Society;A1;1.07;284;20244;4
17439671;Journal of the Energy Institute;A1;1.16;49;3203;6
09552219;Journal of the European Ceramic Society;A1;1.11;159;12125;6
15424774;Journal of the European Economic Association;A1;5.54;103;802;4
14359855;Journal of the European Mathematical Society;A1;2.91;54;585;2
09296646;Journal of the Formosan Medical Association;A1;0.78;59;2162;3
00160032;Journal of the Franklin Institute;A1;1.24;90;7243;4
14747480;Journal of the Institute of Mathematics of Jussieu;A1;1.08;32;125;1
17582652;Journal of the International AIDS Society;A1;2.16;69;2594;4
00246107;Journal of the London Mathematical Society;A1;1.19;60;249;1
00261165;Journal of the Meteorological Society of Japan;A1;1.17;86;644;3
00278874;Journal of the National Cancer Institute;A1;4.76;367;4825;8
17425689;Journal of the Royal Society Interface;A1;1.38;147;3994;5
00225223;Journal of Thoracic and Cardiovascular Surgery;A1;1.39;201;6462;2
15560864;Journal of Thoracic Oncology;A1;4.74;147;8432;8
15387836;Journal of Thrombosis and Haemostasis;A1;3.81;191;11211;11
19326254;Journal of Tissue Engineering and Regenerative Medicine;A1;0.73;79;3232;4
19327005;Journal of Tissue Engineering and Regenerative Medicine;A1;0.73;79;3232;4
17538416;Journal of Topology;A1;1.98;24;156;1
22141405;Journal of Transport and Health;A1;0.91;39;1510;4
09666923;Journal of Transport Geography;A1;1.85;118;4109;6
10548408;Journal of Travel and Tourism Marketing;A1;2.05;82;2009;9
00941190;Journal of Urban Economics;A1;2.82;118;636;5
07415214;Journal of Vascular Surgery;A1;1.8;202;6292;3
11009233;Journal of Vegetation Science;A1;0.94;122;1081;3
08916640;Journal of Veterinary Internal Medicine;A1;1.28;110;2657;3
0022538X;Journal of Virology;A1;2.05;304;14009;6
1045926X;Journal of Visual Languages and Computing;A1;0.41;50;122;2
00018791;Journal of Vocational Behavior;A1;2.81;161;3296;10
07339496;Journal of Water Resources Planning and Management - ASCE;A1;0.82;103;1472;3
10909516;Journal of World Business;A1;2.73;121;1860;11
15564673;Journal on Computing and Cultural Heritage;A1;0.81;28;304;4
10776958;Journalism and Mass Communication Educator;A1;0.44;24;126;1
01486071;Journal of Parenteral and Enteral Nutrition;A1;0.82;105;1764;4
14137038;JUSTIÇA DO DIREITO (UPF);A1;0;0;0;0
00228877;Kant-Studien;A1;0.17;16;17;0
00852538;Kidney International;A1;4.06;288;9932;8
09422056;Knee Surgery, Sports Traumatology, Arthroscopy;A1;1.48;134;7103;5
09507051;Knowledge-Based Systems;A1;2.19;135;14111;9
19815336;Kriterion;A1;0.12;4;6;0
00662399;L'Annee Sociologique;A1;0.23;13;32;1
14730197;Lab on a Chip;A1;1.64;221;8434;8
15476715;Labor: Studies in Working-Class History;A1;0.11;3;15;0
00236837;Laboratory Investigation;A1;1.4;155;2416;5
01406736;Lancet, The;A1;15.65;807;85917;19
14744422;Lancet Neurology, The;A1;11.67;315;11413;14
14702045;Lancet Oncology, The;A1;11.71;355;20120;12
14733099;Lancet Infectious Diseases, The;A1;10.24;255;18712;13
1099145X;Land Degradation and Development;A1;1.25;89;4475;6
02648377;Land Use Policy;A1;1.64;125;12841;7
01692046;Landscape and Urban Planning;A1;1.91;178;5608;9
09212973;Landscape Ecology;A1;1.17;136;2438;5
1612510X;Landslides;A1;1.92;89;4168;7
07437463;Langmuir;A1;0.88;346;20892;4
15205827;Langmuir;A1;0.88;346;20892;4
15350665;Language;A1;1.09;82;291;2
00474045;Language in Society;A1;0.96;67;250;3
15473341;Language Learning and Development;A1;0.69;29;134;2
15684555;Language Policy;A1;1.11;37;225;3
