,titulo,resumo,resumo_traduzido,revista,data,qualis,H-index,doi,pro,contra,indefinido,resultados
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,"Efficacy of propolis as an adjunct treatment for hospitalized COVID-19 patients: a randomized, controlled clinical trial.","Addition of propolis to the standard care procedures resulted in clinical benefits for the hospitalized COVID-19 patients, especially evidenced by a reduction in the length of hospital stay. Consequently, we conclude that propolis can reduce the impact of COVID-19.",-,-,_,-,_,10.1101/2021.01.08.20248932,,,,-
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,Lack of Association of Baseline 25-Hydroxyvitamin D Levels and Cholecalciferol Treatment With Disease Severity and Mortality in Indian Patients Hospitalized for Covid-19.,"Vitamin D deficiency (VDD) owing to its immunomodulatory effects is believed to influence outcomes in COVID-19. We conducted a prospective, observational study of patients, hospitalized with COVID-19. Serum 25-OHD level < 20 ng/mL was considered VDD. Patients were classified as having mild and severe disease on basis of the WHO ordinal scale for clinical improvement (OSCI). Of the 410 patients recruited, patients with VDD (197,48.2%) were significantly younger and had lesser comorbidities. The levels of PTH were significantly higher in the VDD group (63.5 ± 54.4 vs. 47.5 ± 42.9 pg/mL). The proportion of severe cases (13.2% vs.14.6%), mortality (2% vs. 5.2%), oxygen requirement (34.5% vs.43.4%), ICU admission (14.7% vs.19.8%) was not significantly different between patients with or without VDD. There was no significant correlation between serum 25-OHD levels and inflammatory markers studied. Serum parathormone levels correlated with D-dimer (r 0.117, p- 0.019), ferritin (r 0.132, p-0.010), and LDH (r 0.124, p-0.018). Amongst VDD patients, 128(64.9%) were treated with oral cholecalciferol (median dose of 60,000 IU). The proportion of severe cases, oxygen, or ICU admission was not significantly different in the treated vs. untreated group. In conclusion, serum 25-OHD levels at admission did not correlate with inflammatory markers, clinical outcomes, or mortality in hospitalized COVID-19 patients. Treatment of VDD with cholecalciferol did not make any difference to the outcomes.",-,-,_,-,_,10.21203/rs.3.rs-129238/v1,,"['cholecalciferol', 'oxygen']",,-
11,,,,,,,,,,,,
12,Credible learning of hydroxychloroquine and dexamethasone effects on COVID-19 mortality outside of randomized trials.,"The assumptions required for a beneficial effect of hydroxychloroquine on 14 day mortality are difficult to sustain, while the assumptions required for hydroxychloroquine to be harmful are difficult to reject with confidence. Dexamethasone, by contrast, was beneficial under a wide range of plausible assumptions, and was only harmful if a nearly impossible assumption is met. More broadly, the SCQE reveals what inferences can be credibly supported by evidence from non-randomized uses of experimental therapies, making it a useful tool when randomized trials have not yet produced clear evidence or to provide corroborative evidence from different populations.",-,-,_,-,_,10.1101/2020.12.06.20244798,['dexamethasone'],['hydroxychloroquine'],,-
13,,,,,,,,,,,,
14,,,,,,,,,,,,
